Symbol,Strategy,Avg_Fill,IS_Bps,Spread_Bps,Slippage_Bps,Impact_Bps,Total_Shares,Date
AAPL,TWAP,263.26632587859433,-51.155213648677034,3.2169827336538446,0.0,0.052749099505950754,7825,2026-01-06
AAPL,VWAP,263.47704103514377,-43.192279613548656,3.749737772517535,0.0,0.04901790662164312,7825,2026-01-06
AAPL,AC_Aggressive,263.44389524600643,-44.44486028579276,3.3878951283906042,0.0,0.05127420136097835,7825,2026-01-06
AAPL,AC_Balanced,263.9962190159744,-23.572523343780016,3.9838669868955443,0.0,0.06185251471055201,7825,2026-01-06
AAPL,AC_Urgent,264.3481473610223,-10.273137373644214,4.651362229578268,0.0,0.08090642152532225,7825,2026-01-06
AAPL,TWAP,261.8766961661343,-20.70410920658294,3.307869346062275,0.0,0.052253865415221604,7825,2026-01-07
AAPL,VWAP,261.76075428754,-25.122288943709712,3.591418396742423,0.0,0.048281987257451135,7825,2026-01-07
AAPL,AC_Aggressive,261.92699302236423,-18.787454467755758,3.3965743002595805,0.0,0.05260401014228038,7825,2026-01-07
AAPL,AC_Balanced,262.0412294057509,-14.434265780104427,3.7408021173024872,0.0,0.06653577698120573,7825,2026-01-07
AAPL,AC_Urgent,262.1127920127796,-11.707240272639252,4.174489720708555,0.0,0.08456068211292865,7825,2026-01-07
AAPL,TWAP,257.22018274760376,-5.044622220045092,3.454973223641834,0.0,0.0498693044891904,7825,2026-01-08
AAPL,VWAP,257.29529412140573,-2.1259755512847978,3.8141265666528317,0.0,0.04786509724069975,7825,2026-01-08
AAPL,AC_Aggressive,257.11740246645354,-9.038415836233327,3.5453760803236944,0.0,0.04834678233268729,7825,2026-01-08
AAPL,AC_Balanced,256.864211744409,-18.876796098121762,3.8423821148274926,0.0,0.058862414813757875,7825,2026-01-08
AAPL,AC_Urgent,256.81116051118215,-20.938238956821344,4.146265817911587,0.0,0.07730350509456167,7825,2026-01-08
AAPL,TWAP,258.8227121405751,8.225776306487464,3.397371714038403,0.0,0.05314724768650098,7825,2026-01-09
AAPL,VWAP,258.64190479233235,1.2342694628153517,3.671953473006422,0.0,0.05120172733172999,7825,2026-01-09
