Datetime,Open,High,Low,Close,Volume
2026-01-06 09:30:00-05:00,473.75,473.95001220703125,472.3999938964844,473.0201110839844,653431
2026-01-06 09:35:00-05:00,473.07000732421875,473.3800048828125,471.25,472.010009765625,214429
2026-01-06 09:40:00-05:00,472.0400085449219,472.1099853515625,470.8699951171875,470.92999267578125,150361
2026-01-06 09:45:00-05:00,471.7674865722656,473.2099914550781,471.6650085449219,473.0,334776
2026-01-06 09:50:00-05:00,473.0,473.42999267578125,472.4100036621094,472.7349853515625,139318
2026-01-06 09:55:00-05:00,472.72149658203125,472.7699890136719,471.3999938964844,471.6050109863281,177833
2026-01-06 10:00:00-05:00,471.57000732421875,471.6499938964844,470.80010986328125,471.260009765625,319086
2026-01-06 10:05:00-05:00,471.2149963378906,471.5199890136719,470.3500061035156,470.4375,253533
2026-01-06 10:10:00-05:00,470.4200134277344,470.8399963378906,469.75,470.3599853515625,327106
2026-01-06 10:15:00-05:00,470.32000732421875,470.75,470.239990234375,470.5249938964844,143323
2026-01-06 10:20:00-05:00,470.5032958984375,471.6600036621094,470.42999267578125,471.5400085449219,160629
2026-01-06 10:25:00-05:00,471.6000061035156,472.0697021484375,471.5299987792969,471.69500732421875,171362
2026-01-06 10:30:00-05:00,471.6700134277344,472.1000061035156,471.5799865722656,471.8949890136719,174462
2026-01-06 10:35:00-05:00,471.92999267578125,472.6449890136719,471.860107421875,472.5450134277344,172930
2026-01-06 10:40:00-05:00,472.07000732421875,472.1000061035156,471.7001037597656,471.7255859375,139876
2026-01-06 10:45:00-05:00,471.6099853515625,472.5769958496094,471.6000061035156,472.42999267578125,163419
2026-01-06 10:50:00-05:00,472.3800048828125,472.45819091796875,471.92999267578125,472.0,68589
2026-01-06 10:55:00-05:00,472.0899963378906,472.32000732421875,471.79998779296875,472.18499755859375,134145
2026-01-06 11:00:00-05:00,472.1700134277344,472.3598937988281,471.92010498046875,471.989990234375,106238
2026-01-06 11:05:00-05:00,471.6199951171875,472.17291259765625,471.5199890136719,472.17291259765625,117534
2026-01-06 11:10:00-05:00,472.19000244140625,472.239990234375,472.0199890136719,472.0950012207031,98840
2026-01-06 11:15:00-05:00,472.1050109863281,472.1494140625,471.8699951171875,472.0450134277344,79554
2026-01-06 11:20:00-05:00,472.37530517578125,472.4798889160156,472.2850036621094,472.4419860839844,134318
2026-01-06 11:25:00-05:00,472.2361145019531,472.30999755859375,472.110107421875,472.2149963378906,86826
2026-01-06 11:30:00-05:00,472.2149963378906,472.2409973144531,472.0899963378906,472.2206115722656,68046
2026-01-06 11:35:00-05:00,472.1449890136719,472.1600036621094,471.6499938964844,471.8800964355469,105002
2026-01-06 11:40:00-05:00,471.8500061035156,471.8500061035156,471.8450012207031,471.84698486328125,324
2026-01-06 11:50:00-05:00,471.8800048828125,471.8999938964844,471.5899963378906,471.6449890136719,219289
